date,exchange_rate
2011-01-03,0.3
2011-03-09,0.6
2011-05-18,8.4
2011-10-15,3.7
2012-01-11,6.6
2012-06-20,6.5
2012-12-27,13.4
2013-01-16,13.6
2013-06-27,101.6
2013-11-01,206
2013-12-18,596
2014-01-15,857.33
2014-06-01,644.36
2014-12-31,318.31
2015-06-01,229.9
2015-12-31,430.57
2016-06-01,536.35
2016-12-31,963.66
2017-06-01,2436.51
2017-12-31,13850.4
2018-06-01,7621.3
2018-12-31,3742.7
2019-06-01,8563.5
2019-12-31,7196.4
2020-06-01,9461.06
2020-12-31,29001.72
2021-06-01,37332.86
2021-12-31,46216.93
2022-01-01,47686.81
2022-06-01,31792.31
